Question number,Category,English Sentence,Terjemahan Bahasa Malaysia
1,Theorist ,"I have strong beliefs about what is right and wrong, good and bad.","Saya mempunyai kepercayaan yang kuat tentang apa yang betul dan salah, baik dan buruk."
2,Activist ,I often act without considering the possible consequences.,Saya sering bertindak tanpa memikirkan kemungkinan akibatnya.
3,Theorist ,I tend to solve problems using a step-by-step approach.,Saya cenderung menyelesaikan masalah menggunakan pendekatan langkah demi langkah.
4,Activist ,I believe that formal procedures and policies restrict people.,Saya percaya bahawa prosedur dan dasar rasmi menghadkan kebebasan individu.
5,Pragmatist ,"I have a reputation for saying what I think, simply and directly.",Saya dikenali kerana berkata apa yang saya fikirkan secara ringkas dan terus terang.
6,Activist ,I often find that actions based on feelings are as sound as those based on careful thought and analysis.,Saya sering mendapati bahawa tindakan berdasarkan perasaan adalah sama kukuhnya dengan tindakan berdasarkan pemikiran dan analisis yang teliti.
7,Reflector ,I like the sort of work where I have time for thorough preparation and implementation.,Saya suka jenis kerja yang memberi saya masa untuk persediaan dan pelaksanaan yang menyeluruh.
8,Theorist ,I regularly question people about their basic assumptions.,Saya kerap menyoal orang lain tentang andaian asas mereka.
9,Pragmatist ,What matters most is whether something works in practice.,Apa yang paling penting ialah sama ada sesuatu itu berkesan dalam amalan.
10,Activist ,I actively seek out new experiences.,Saya aktif mencari pengalaman baharu.
11,Pragmatist ,When I hear about a new idea or approach I immediately start working out how to apply it in practice.,"Apabila saya mendengar tentang idea atau pendekatan baru, saya terus memikirkan cara untuk melaksanakannya dalam praktik."
12,Theorist ,"I am keen on self-discipline such as watching my diet, taking regular exercise, sticking to a fixed routine etc.","Saya menitikberatkan disiplin diri seperti menjaga pemakanan, bersenam secara tetap, dan mengikut rutin tetap."
13,Reflector ,I take pride in doing a thorough job.,Saya berasa bangga apabila melakukan kerja dengan teliti.
14,Theorist ,"I get on best with logical, analytical people and less well with spontaneous, ""irrational"" people.","Saya paling serasi dengan orang yang logik dan analitikal, dan kurang sesuai dengan orang yang spontan atau “tidak rasional”."
15,Reflector ,I take care over the interpretation of data available to me and avoid jumping to conclusions.,Saya berhati-hati dalam mentafsir data yang ada dan mengelak membuat kesimpulan terburu-buru.
16,Reflector ,I like to reach a decision carefully after weighing up many alternatives.,Saya suka membuat keputusan dengan berhati-hati selepas menimbang banyak alternatif.
17,Activist ,"I'm attracted more to novel, unusual ideas than to practical ones.",Saya lebih tertarik kepada idea yang baru dan luar biasa daripada yang bersifat praktikal.
18,Theorist ,I don't like disorganised things and prefer to fit things into a coherent pattern.,Saya tidak suka perkara yang tidak teratur dan lebih suka menyusun sesuatu dalam corak yang teratur.
19,Pragmatist ,I accept and stick to laid down procedures and policies so long as I regard them as an efficient way of getting the job done.,Saya menerima dan mengikut prosedur serta dasar yang ditetapkan selagi saya menganggapnya sebagai cara yang berkesan untuk menyiapkan kerja.
20,Theorist ,I like to relate my actions to a general principle.,Saya suka mengaitkan tindakan saya dengan prinsip umum.
21,Pragmatist ,In discussions I like to get straight to the point.,"Dalam perbincangan, saya suka terus kepada perkara utama."
22,Theorist ,"I tend to have distant, rather formal relationships with people at work.",Saya cenderung mempunyai hubungan yang agak formal dan berjarak dengan rakan sekerja.
23,Activist ,I thrive on the challenge of tackling something new and different.,Saya berkembang dengan cabaran untuk menangani sesuatu yang baru dan berbeza.
24,Activist ,"I enjoy fun-loving, spontaneous people.",Saya suka orang yang ceria dan spontan.
25,Reflector ,I pay meticulous attention to detail before coming to a conclusion.,Saya memberi perhatian teliti terhadap setiap butiran sebelum membuat kesimpulan.
26,Theorist ,I find it difficult to produce ideas on impulse.,Saya sukar menghasilkan idea secara spontan.
27,Pragmatist ,I believe in coming to the point immediately.,Saya percaya bahawa lebih baik terus kepada perkara pokok dengan segera.
28,Reflector ,I am careful not to jump to conclusions too quickly.,Saya berhati-hati agar tidak membuat kesimpulan terlalu cepat.
29,Reflector ,I prefer to have as many sources of information as possible -the more data to mull over the better.,"Saya lebih suka mempunyai sebanyak mungkin sumber maklumat – lebih banyak data untuk difikirkan, lebih baik."
30,Theorist ,Flippant people who don't take things seriously enough usually irritate me.,Orang yang sambil lewa dan tidak mengambil sesuatu dengan serius biasanya membuat saya rasa terganggu.
31,Reflector ,I listen to other people's point of view before putting my own forward.,Saya mendengar pandangan orang lain sebelum mengemukakan pandangan saya sendiri.
32,Activist ,I tend to be open about how I'm feeling.,Saya cenderung bersikap terbuka tentang perasaan saya.
33,Reflector ,In discussions I enjoy watching the manoeuvrings of the other participants.,"Dalam perbincangan, saya suka memerhati gerak-geri peserta lain."
34,Activist ,"I prefer to respond to events on a spontaneous, flexible basis rather than plan things out in advance.",Saya lebih suka bertindak balas terhadap sesuatu secara spontan dan fleksibel daripada merancang lebih awal.
